ride_id,anomaly_type
RIDE-00149,duplicate_auth
RIDE-00422,duplicate_auth
RIDE-00461,duplicate_auth
RIDE-00058,duplicate_auth
RIDE-00472,duplicate_auth
RIDE-00250,duplicate_auth
RIDE-00467,duplicate_auth
RIDE-00446,duplicate_auth
RIDE-00007,duplicate_auth
RIDE-00121,duplicate_auth
RIDE-00199,duplicate_auth
RIDE-00379,duplicate_auth
RIDE-00148,duplicate_auth
RIDE-00154,duplicate_auth
RIDE-00376,duplicate_auth
RIDE-00052,duplicate_auth
RIDE-00044,duplicate_auth
RIDE-00382,duplicate_auth
RIDE-00348,duplicate_auth
RIDE-00016,duplicate_auth
RIDE-00048,duplicate_auth
RIDE-00326,duplicate_auth
RIDE-00023,duplicate_auth
RIDE-00085,duplicate_auth
RIDE-00125,duplicate_auth
RIDE-00456,duplicate_auth
RIDE-00365,duplicate_auth
RIDE-00037,duplicate_auth
RIDE-00179,duplicate_auth
RIDE-00164,duplicate_auth
RIDE-00434,capture_mismatch
RIDE-00295,capture_mismatch
RIDE-00050,capture_mismatch
RIDE-00500,capture_mismatch
RIDE-00464,capture_mismatch
RIDE-00227,capture_mismatch
RIDE-00496,capture_mismatch
RIDE-00282,capture_mismatch
RIDE-00283,capture_mismatch
RIDE-00431,capture_mismatch
RIDE-00416,capture_mismatch
RIDE-00060,capture_mismatch
RIDE-00483,capture_mismatch
RIDE-00358,capture_mismatch
RIDE-00471,capture_mismatch
RIDE-00075,capture_mismatch
RIDE-00068,capture_mismatch
RIDE-00309,capture_mismatch
RIDE-00344,capture_mismatch
RIDE-00440,capture_mismatch
RIDE-00419,capture_mismatch
RIDE-00442,capture_mismatch
RIDE-00375,capture_mismatch
RIDE-00024,capture_mismatch
RIDE-00131,capture_mismatch
RIDE-00175,capture_mismatch
RIDE-00159,capture_mismatch
RIDE-00201,capture_mismatch
RIDE-00228,capture_mismatch
RIDE-00169,capture_mismatch
RIDE-00005,capture_mismatch
RIDE-00368,capture_mismatch
RIDE-00308,capture_mismatch
RIDE-00077,capture_mismatch
RIDE-00006,capture_mismatch
RIDE-00441,ghost_refund
RIDE-00232,ghost_refund
RIDE-00001,ghost_refund
RIDE-00042,ghost_refund
RIDE-00072,ghost_refund
RIDE-00191,ghost_refund
RIDE-00167,ghost_refund
RIDE-00284,ghost_refund
RIDE-00460,ghost_refund
RIDE-00110,ghost_refund
RIDE-00320,ghost_refund
RIDE-00109,ghost_refund
RIDE-00076,ghost_refund
RIDE-00209,ghost_refund
RIDE-00408,ghost_refund
RIDE-00082,ghost_refund
RIDE-00146,ghost_refund
RIDE-00140,ghost_refund
RIDE-00230,ghost_refund
RIDE-00015,ghost_refund
RIDE-00351,ghost_refund
RIDE-00263,ghost_refund
RIDE-00424,ghost_refund
RIDE-00195,ghost_refund
RIDE-00396,ghost_refund
RIDE-00170,ghost_refund
RIDE-00346,ghost_refund
RIDE-00281,ghost_refund
RIDE-00373,ghost_refund
RIDE-00470,ghost_refund
RIDE-00300,currency_discrepancy
RIDE-00291,currency_discrepancy
RIDE-00319,currency_discrepancy
RIDE-00089,currency_discrepancy
RIDE-00162,currency_discrepancy
RIDE-00009,currency_discrepancy
RIDE-00018,currency_discrepancy
RIDE-00254,currency_discrepancy
RIDE-00476,currency_discrepancy
RIDE-00066,currency_discrepancy
RIDE-00120,currency_discrepancy
RIDE-00141,currency_discrepancy
RIDE-00081,currency_discrepancy
RIDE-00092,currency_discrepancy
RIDE-00013,currency_discrepancy
RIDE-00133,currency_discrepancy
RIDE-00147,currency_discrepancy
RIDE-00260,currency_discrepancy
RIDE-00438,currency_discrepancy
RIDE-00417,currency_discrepancy
RIDE-00390,currency_discrepancy
RIDE-00414,currency_discrepancy
RIDE-00257,currency_discrepancy
RIDE-00324,currency_discrepancy
RIDE-00255,currency_discrepancy
RIDE-00427,currency_discrepancy
RIDE-00393,currency_discrepancy
RIDE-00128,currency_discrepancy
RIDE-00190,currency_discrepancy
RIDE-00264,currency_discrepancy
RIDE-00334,abandoned_auth
RIDE-00119,abandoned_auth
RIDE-00276,abandoned_auth
RIDE-00127,abandoned_auth
RIDE-00317,abandoned_auth
RIDE-00053,abandoned_auth
RIDE-00357,abandoned_auth
RIDE-00449,abandoned_auth
RIDE-00350,abandoned_auth
RIDE-00405,abandoned_auth
RIDE-00126,abandoned_auth
RIDE-00497,abandoned_auth
RIDE-00182,abandoned_auth
RIDE-00108,abandoned_auth
RIDE-00165,abandoned_auth
RIDE-00214,abandoned_auth
RIDE-00493,abandoned_auth
RIDE-00107,abandoned_auth
RIDE-00242,abandoned_auth
RIDE-00038,abandoned_auth
RIDE-00289,abandoned_auth
RIDE-00498,abandoned_auth
RIDE-00123,abandoned_auth
RIDE-00198,abandoned_auth
RIDE-00261,abandoned_auth
